horizon,n,L0 physics,L1 + derate,L2 + diurnal bias,L3 + boosted,L4 diurnal + boosted
J+0,1251,5.574694116512508,4.931522263156612,3.8952216615008006,3.0996747050957127,2.9322700272291153
J+1,1251,6.66634758665736,5.5667055175866444,4.417171078611318,4.228518205950996,4.356396201611951
J+2,1251,6.695646551927909,5.680073642157104,4.515647367898182,3.721993397975899,4.437663461225041
J+3,1251,6.741923107447991,5.71755864329829,4.666075876385178,3.7788809095593257,3.9691972690880135
