time,ariana,beja,ben_arous,bizerte,gabes,gafsa,jendouba,kairouan,kasserine,kebili,kef,mahdia,manouba,medenine,monastir,nabeul,sfax,sidi_bouzid,siliana,sousse,tataouine,tozeur,tunis,zaghouan
2026-09-17 00:30:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-17 01:30:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-17 02:30:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-17 03:30:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-17 04:30:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-17 05:30:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-17 06:30:00+01:00,0.560186586701552,0.3896196725751056,0.4852227247669038,0.5731697286378007,0.5083983284580147,0.39964231989025445,0.3654743050595272,0.8291492408516802,0.5165980565891125,0.20783492564706962,0.1804186078412928,0.44585737173731416,0.42873770034039876,0.9336903136708646,0.6741836272684889,0.8402764841519753,1.3569133102802764,0.575049611496556,0.26922695064334023,1.296827034459604,0.3792773245082966,0.10846520923615778,0.9955436353003001,0.2604342201004629
2026-09-17 07:30:00+01:00,4.080248153844963,2.351528202985762,5.911459085069473,3.742163265022952,2.8934207353221466,2.837769905775522,2.486827381344706,3.805721962429329,4.073125027540906,1.7688119477387736,1.174986662109277,3.1336542500191715,2.796057854058412,4.638355652296655,3.25184564757823,3.0263823439582995,5.822014913218775,3.8328092722715286,1.2745589694701478,6.713604850640313,1.8304853575894746,0.9805942806670411,8.106474461021623,1.1553210011341533
2026-09-17 08:30:00+01:00,8.956794831813587,5.268968184925441,11.001057943994315,9.437751312705032,6.045405612764667,5.452688161969625,4.909937408496071,8.191492482407188,8.64077805160778,3.8569281049451303,3.0152419853452583,6.194247784463871,5.611377526211436,9.537793420355738,7.8066414356479985,11.197540857304585,13.204489017946694,8.593016597563874,3.4920615365429217,13.348041828435411,3.533901616834432,1.9704796467807748,16.24268400810064,2.4922319805502124
2026-09-17 09:30:00+01:00,15.078551971026936,7.181313238343111,16.196869404764325,14.952397457510461,8.435773125250869,8.094619313821507,8.724499969427649,13.500141139977297,11.295321607568386,5.347008421397075,5.454428963979052,8.48947886904014,8.495443880973074,13.06393029404682,13.316397591124426,18.8023287092495,17.90657516234614,12.724926802711066,3.97578772634837,16.94009727129654,4.773944177981389,2.4758881324642767,26.25285767542635,4.418383200327479
2026-09-17 10:30:00+01:00,17.769373378794302,8.377338042338987,19.77317380189343,16.793076610678646,10.29523968132778,11.442762259193954,9.408287241421844,17.290804965289457,14.563848810426688,6.419953844434253,5.573586013874394,13.247992895262431,10.730323354719651,14.877091897008148,15.767292661611272,19.83115112940883,23.31034455156643,16.41025994041593,5.916616979613213,20.235950630545354,5.1145809882230875,3.37432853195735,31.57143293511148,6.033527838822967
2026-09-17 11:30:00+01:00,19.857509647847028,10.665570097493141,24.043563911921662,19.55102852047283,11.951333675825277,14.253427727393957,11.794207097146451,19.09137771767948,19.077326803901602,6.933052099984359,7.600676020373097,14.710133517127952,12.812304662576373,16.99999522165145,20.436607795783193,28.44221430961153,29.067638814316332,18.584895963093853,8.02597148046772,25.127350167722682,5.39312038604361,3.793445399276904,37.01018431909505,6.884192938461685
2026-09-17 12:30:00+01:00,20.167063259027483,11.104965975399509,23.197997474530574,19.63382615730981,11.939907016037825,13.91082545856876,13.243381386808009,21.75576569156124,19.21830507207415,6.803911514971592,9.567885552518552,13.745648011810792,13.460798693783744,17.46649436004136,19.987088678387927,32.393693152727096,30.146539916475486,19.13279434370284,8.930491416850629,22.174421238653867,5.359691993702206,3.1237935523048495,37.6654674234293,7.206156501506113
2026-09-17 13:30:00+01:00,18.596047447809916,10.560970482160991,19.577638344735373,20.3641633114055,11.153569057086493,11.946193361962772,12.434759685615342,19.668584895045264,17.12765413982671,6.424219451932441,8.408741789592538,11.897610205774315,12.659786003857956,17.201742581296923,19.52236078389791,30.06977696428824,30.845708542990423,17.37955430540188,5.806542613455963,23.913277369952304,4.940572787344647,3.2061087936666106,35.25448741445995,6.466500208350365
2026-09-17 14:30:00+01:00,15.62530599228094,7.753392093929633,12.388962004321138,16.70220342358586,10.100213890134127,10.08052398224989,11.074924507370051,16.921201816131866,13.386334155424544,5.248357343668584,6.964307330418471,12.734797414249199,10.326783942913039,16.18574585503286,17.978496759291932,23.312086182953028,31.780939443024433,15.139542855427944,5.311030394283739,19.153628095315486,3.2760970127474667,3.021742620815957,27.970207972314792,3.3167979441413418
2026-09-17 15:30:00+01:00,8.274854691942899,5.495135334154538,7.463777634791276,13.462199706604126,9.145357519450311,8.704081209062604,8.455826761008645,10.379029624911912,11.543490848308416,3.730912197519886,5.8982785149958294,8.019679331547948,4.824831833639467,12.643593401339132,11.011528584275887,14.238611516383715,24.873174668893107,11.232724763920444,2.5819543455234824,11.033514791929418,2.5599348551979633,2.5537233475116556,13.71404063090273,2.223135595834833
2026-09-17 16:30:00+01:00,5.097686168140776,3.089911424697917,5.163148950927061,5.531707482546664,6.6479800874014385,5.751513136431786,6.536366897671173,4.522128837769038,7.200592192695653,1.7698024847273484,3.3077374444389296,4.435031313060419,3.500885623970972,8.343853622651078,5.176415654252264,5.206223270815017,15.06475207756139,6.367375223155064,2.3504672044803865,6.164344849707649,1.444015747811468,1.7415111983057545,9.214233938694974,1.6120255537438843
