forecast,decision_$,reserve_$,unserved_$,curtail_$,reserve_MWh,unserved_MWh,unserved_h,curtailed_MWh,ramp_viol,saving_vs_ref_%
physics + diurnal bias + conformal band,1762004.7475291442,1654063.8254185303,107940.92211061389,0.0,137838.65211821086,35.98030737020463,1,0.0,332,0.0
DustCast + conformal band,1699039.1539766337,1501470.5611039451,197568.59287268843,0.0,125122.5467586621,65.85619762422948,2,0.0,325,3.5735200850512516
DustCast + adaptive CQR band,2486800.0194364786,671276.3698451245,1815523.6495913542,0.0,55939.69748709371,605.1745498637847,22,0.0,325,-41.13469460985921
perfect foresight,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,331,100.0
