,n,MAE_all,MAE_hiAOD,PICP_all,PICP_hiAOD,Winkler
aerosol correction OFF,4914.0,0.34557312648832095,0.32333152952654065,0.901912901912902,0.8672032193158954,1.8769973181999022
aerosol correction ON,4914.0,0.30008449090427997,0.3233112115529829,0.9238909238909239,0.8651911468812877,1.8500882476539362
