lead_d,n,MAE_kW,RMSE_kW,nMAE_%,PICP,PINAW
0,5063,0.2904542294771436,0.3814759869445845,4.84090382461906,0.9498321153466325,0.22726595158784466
1,4914,0.34557312648832095,0.4545391712075008,5.759552108138682,0.901912901912902,0.22499220247091423
2,4905,0.35036428923959706,0.46075766713810834,5.839404820659951,0.8960244648318043,0.22527455578199274
3,4891,0.35133556603984,0.46573561907222794,5.855592767330666,0.9000204457166223,0.22529442078604114
5,4879,0.35313378203289675,0.48585936657474244,5.8855630338816125,0.8952654232424677,0.22577473315421348
7,4861,0.3509399562204339,0.527807092547209,5.848999270340564,0.8950833161900843,0.22691509835889134
