period,n,selected,selected_on_mae,L0 physics,L1 + derate,L2 + diurnal bias,L3 + boosted,L4 diurnal + boosted,realised_selected
2024-08-01 00:00:00+09:30,278,L4 diurnal + boosted,0.06695165602319816,0.09185211051008196,0.0869865232314305,0.04763372551758251,0.07115740236082699,0.04776596304145115,0.04776596304145115
2024-09-01 00:00:00+09:30,291,L2 + diurnal bias,0.04873341082330092,0.139301881323235,0.13560894666276668,0.10493935286562164,0.1269913443138712,0.09966248889063896,0.10493935286562164
2024-10-01 00:00:00+09:30,340,L4 diurnal + boosted,0.08400955408631247,0.1306423482855386,0.1308048631933003,0.10500586899634315,0.11904941060490135,0.10466795170939176,0.10466795170939176
2024-11-01 00:00:00+09:30,349,L2 + diurnal bias,0.10379508531559481,0.1866277576234164,0.1913208289386876,0.1796477863268806,0.20180900317689945,0.20864447095360247,0.1796477863268806
2024-12-01 00:00:00+09:30,320,L4 diurnal + boosted,0.14170041418121504,0.1464901968323622,0.14626564628746688,0.1373644296419392,0.1716649817377621,0.1356311287073361,0.1356311287073361
2025-01-01 00:00:00+09:30,236,L2 + diurnal bias,0.13558716378432067,0.1033077786109398,0.10518747461889372,0.07668670196694917,0.10397587471824145,0.07782906563290334,0.07668670196694917
2025-02-01 00:00:00+09:30,227,L2 + diurnal bias,0.08837239014006443,0.11746273720288047,0.11906028949808012,0.07915193595577005,0.10668294937097045,0.07844643621332077,0.07915193595577005
2025-03-01 00:00:00+09:30,244,L2 + diurnal bias,0.06980267612218481,0.15722858150848737,0.16089368596737738,0.12011784025335073,0.1524812787125243,0.12283565657205588,0.12011784025335073
2025-04-01 00:00:00+09:30,215,L2 + diurnal bias,0.10413282067836559,0.09692411316476658,0.09670006342851102,0.04766653480698983,0.08241703864623581,0.04851775996197546,0.04766653480698983
2025-05-01 00:00:00+09:30,219,L2 + diurnal bias,0.08823781167781776,0.1019664829499886,0.10716649283350667,0.06078765147823274,0.08731863950607563,0.060665898005456104,0.06078765147823274
2025-06-01 00:00:00+09:30,211,L2 + diurnal bias,0.05324579112954875,0.07360295315426121,0.06906159334720983,0.04407471205197466,0.06412580271983337,0.04386010595382005,0.04407471205197466
2025-07-01 00:00:00+09:30,236,L2 + diurnal bias,0.05594395833562742,0.07989554247065986,0.07321207801991651,0.04744867305593012,0.06225853507929792,0.04433820414919994,0.04744867305593012
2025-08-01 00:00:00+09:30,295,L4 diurnal + boosted,0.04470992097089223,0.0906349780150566,0.08361652794570226,0.04501124531870248,0.08172590824723866,0.04274208430271685,0.04274208430271685
2025-09-01 00:00:00+09:30,319,L4 diurnal + boosted,0.04552681947346142,0.13093913486158157,0.12728132239767403,0.0879954098796618,0.12204027351065388,0.1002306168850319,0.1002306168850319
2025-10-01 00:00:00+09:30,361,L2 + diurnal bias,0.07139722222442976,0.17138588889858888,0.1767387375521352,0.1287784593343229,0.15525581155772997,0.1512066092815666,0.1287784593343229
2025-11-01 00:00:00+09:30,377,L2 + diurnal bias,0.11539101981409956,0.17242342430212063,0.17898934971491917,0.13919059410915677,0.16203229586677748,0.14952963910027187,0.13919059410915677
2025-12-01 00:00:00+09:30,403,L2 + diurnal bias,0.15354156406541195,0.11102814467841883,0.1137535694694962,0.09338935281081621,0.10044273500232201,0.09779825401168833,0.09338935281081621
2026-01-01 00:00:00+09:30,389,L2 + diurnal bias,0.1165270828418529,0.09138061219449836,0.09334411849632528,0.0712097907366255,0.07562435743631774,0.09984590708197043,0.0712097907366255
2026-02-01 00:00:00+09:30,228,L2 + diurnal bias,0.08137461444792105,0.2124663037555465,0.21914505639204407,0.16824476891561382,0.19555571469936245,0.16985391026946212,0.16824476891561382
