scale,correction,PICP,cov_err,PINAW,Winkler
Nowcast,shared,0.9901665137013242,0.09016651370132422,0.2250346473998912,1.3956531208674485
Nowcast,own,0.8968139504392291,-0.003186049560770954,0.07829546395229708,0.8308352031848368
Day-ahead,shared,0.9037070524412296,0.003707052441229597,0.22489141720440384,1.7883618365887386
Day-ahead,own,0.9037070524412296,0.003707052441229597,0.22489141720440384,1.7883618365887386
Week-ahead,shared,0.9034608378870674,0.003460837887067414,0.22600065567010438,2.0604081280722903
Week-ahead,own,0.9193989071038251,0.01939890710382508,0.2402898874143382,2.0606182301539215
