time,national_mw
2026-09-17 00:30:00+01:00,0.0
2026-09-17 01:30:00+01:00,0.0
2026-09-17 02:30:00+01:00,0.0
2026-09-17 03:30:00+01:00,0.0
2026-09-17 04:30:00+01:00,0.0
2026-09-17 05:30:00+01:00,0.0
2026-09-17 06:30:00+01:00,13.580197290212348
2026-09-17 07:30:00+01:00,81.68822118310761
2026-09-17 08:30:00+01:00,178.00155133771273
2026-09-17 09:30:00+01:00,265.8969641064022
2026-09-17 10:30:00+01:00,324.1283389839399
2026-09-17 11:30:00+01:00,392.10712829526733
2026-09-17 12:30:00+01:00,401.3369138421836
2026-09-17 13:30:00+01:00,375.42657054191085
2026-09-17 14:30:00+01:00,315.7536230320263
2026-09-17 15:30:00+01:00,214.0633917096502
2026-09-17 16:30:00+01:00,125.23971038565811
2026-09-17 17:30:00+01:00,44.758776148694
2026-09-17 18:30:00+01:00,0.011302072259799184
2026-09-17 19:30:00+01:00,0.0
2026-09-17 20:30:00+01:00,0.0
2026-09-17 21:30:00+01:00,0.0
2026-09-17 22:30:00+01:00,0.0
2026-09-17 23:30:00+01:00,0.0
2026-09-18 00:30:00+01:00,0.0
2026-09-18 01:30:00+01:00,0.0
2026-09-18 02:30:00+01:00,0.0
2026-09-18 03:30:00+01:00,0.0
2026-09-18 04:30:00+01:00,0.0
2026-09-18 05:30:00+01:00,0.0
2026-09-18 06:30:00+01:00,16.973598574831474
2026-09-18 07:30:00+01:00,96.9694025645514
2026-09-18 08:30:00+01:00,203.43619673980416
2026-09-18 09:30:00+01:00,299.18892346124744
2026-09-18 10:30:00+01:00,361.5459850925017
2026-09-18 11:30:00+01:00,404.4039907936324
2026-09-18 12:30:00+01:00,402.8792140191004
2026-09-18 13:30:00+01:00,374.6174968026588
2026-09-18 14:30:00+01:00,308.423800255271
2026-09-18 15:30:00+01:00,205.53970266705252
2026-09-18 16:30:00+01:00,110.61244076780399
2026-09-18 17:30:00+01:00,40.800635996739054
2026-09-18 18:30:00+01:00,0.0
2026-09-18 19:30:00+01:00,0.0
2026-09-18 20:30:00+01:00,0.0
2026-09-18 21:30:00+01:00,0.0
2026-09-18 22:30:00+01:00,0.0
2026-09-18 23:30:00+01:00,0.0
2026-09-19 00:30:00+01:00,0.0
2026-09-19 01:30:00+01:00,0.0
2026-09-19 02:30:00+01:00,0.0
