,n,PICP,target,cov_error,PINAW,mean_width_kW,pinball_0.05,pinball_0.50,pinball_0.95,CRPS_approx
absolute,4715.0,0.759915164369035,0.9,-0.14008483563096508,0.0515447404355096,0.3092684426130576,0.015928430709035067,0.05886036903363142,0.02929917655878774,0.06939198420096948
normalised,4715.0,0.7930010604453871,0.9,-0.10699893955461293,0.0588366293603211,0.3530197761619266,0.01323568041477846,0.05886036903363142,0.026066616971910976,0.06544177761354723
cqr,4715.0,0.7900318133616119,0.9,-0.10996818663838814,0.04981716779598295,0.2989030067758977,0.014066647147896431,0.05886036903363142,0.018891477138665524,0.06121232888012892
rolling_cqr,4715.0,0.903287380699894,0.9,0.0032873806998939825,0.06910247496346943,0.41461484978081653,0.011570187371915156,0.05886036903363142,0.018748115485583628,0.05945244792742013
