axis,value,baseline_$k,DustCast_$k,saving_%,unserved_MWh_base,unserved_MWh_dc,curtail_MWh_dc,rampviol_dc
VoLL $/MWh,500,1381.0797626982594,1311.7289946138421,5.021488979675192,93.5287236947197,150.203293771855,0.0,325
VoLL $/MWh,"1,500",1708.0342864738373,1600.2548575402893,6.3101443447048045,35.98030737020463,65.85619762422948,0.0,325
VoLL $/MWh,"3,000",1762.0047475291442,1699.0391539766338,3.5735200850512516,35.98030737020463,65.85619762422948,0.0,325
VoLL $/MWh,"10,000",2013.8668991205766,2160.03253734624,-7.257959217140497,35.98030737020463,65.85619762422948,0.0,325
reserve $/MW/h,3,521.4568784652465,572.9362331486747,-9.872217015324924,35.98030737020463,65.85619762422948,0.0,325
reserve $/MW/h,6,934.972834819879,948.303873424661,-1.425820955252699,35.98030737020463,65.85619762422948,0.0,325
reserve $/MW/h,12,1762.0047475291442,1699.0391539766338,3.5735200850512516,35.98030737020463,65.85619762422948,0.0,325
reserve $/MW/h,25,3553.907225065885,3325.632261839241,6.423211096131309,35.98030737020463,65.85619762422948,0.0,325
Gmin MW,"1,400",1762.0047475291442,1699.0391539766338,3.5735200850512516,35.98030737020463,65.85619762422948,0.0,325
Gmin MW,"1,800",1762.0047475291442,1699.0391539766338,3.5735200850512516,35.98030737020463,65.85619762422948,0.0,325
Gmin MW,"2,200",1762.0448215715533,1699.0792280190428,3.573438812773899,35.98030737020463,65.85619762422948,8.014808481850196,325
Gmin MW,"2,600",1762.0740916987454,1699.108498146235,3.5733794537440744,35.98030737020463,65.85619762422948,13.86883392027812,297
ramp MW/h,250,1762.0047475291442,1699.0391539766338,3.5735200850512516,35.98030737020463,65.85619762422948,0.0,517
ramp MW/h,350,1762.0047475291442,1699.0391539766338,3.5735200850512516,35.98030737020463,65.85619762422948,0.0,479
ramp MW/h,450,1762.0047475291442,1699.0391539766338,3.5735200850512516,35.98030737020463,65.85619762422948,0.0,325
ramp MW/h,700,1762.0047475291442,1699.0391539766338,3.5735200850512516,35.98030737020463,65.85619762422948,0.0,58
PV fleet MW,500,1762.0047475291442,1699.0391539766338,3.5735200850512516,35.98030737020463,65.85619762422948,0.0,325
PV fleet MW,"1,500",5286.01421969925,5097.117427597621,3.5735203170221053,107.9409144812198,197.56858142859528,0.0,349
PV fleet MW,"2,500",8823.759622960666,8508.931666642193,3.56795708146046,179.90151396284045,329.2809690476588,2747.1907958984375,509
PV fleet MW,"3,500",12976.995782446314,12436.771170142476,4.162940493781986,0.0,175.97607929942023,279709.8009033203,588
