forecast,down_POD,down_FAR,down_CSI,up_CSI,amp_MAE_kW
clear-sky physics only,0.871513102282333,0.19828926905132194,0.7169680111265647,0.6354823073194377,0.5379093460857598
smart persistence,0.7548770144189991,0.35131195335276966,0.5358217940999398,0.5373790677220757,0.9159194889269123
DustCast (physics+ML),0.9061707523245984,0.19337848006019565,0.7444444444444445,0.7840083073727934,0.3545695116528493
